code,description
1020-7,E Ag RBC Donr Ql
10207-9,Phys find Thorax+Lungs
10208-7,Phys find Vesl
10209-5,Phys find Balance+Coordination
10210-3,Phys find General status
10211-1,Phys find Sense of touch
10212-9,Phys find Strength
10213-7,Operative note anesthesia
10214-5,Operative note anesthesia duration
1021-5,E Ag RBC Ql
10215-2,Operative note findings
10216-0,Operative note fluids
10217-8,Operative note indications Imp
10218-6,Operative note post-op Dx
10219-4,Operative note pre-op Dx
10220-2,Operative note prep time duration
10221-0,Operative note specimens taken
10222-8,Operative note complications Imp
1022-3,Fy sup(a) Ab SerPl BPU Ql
10223-6,Operative note procedure
10224-4,Hemodynamic method special circumstances
10225-1,Cardiac Measurement Device Inventory #
10226-9,O2 Ct IV space-sCnc
10227-7,Cardiac Measurement Device Model #
10228-5,Cardiac Measurement Device Serial #
10229-3,Hemodynamic Method Class
10230-1,LV EF
1023-1,Fy sup(a) Ab SerPl Donr Ql
10231-9,RV EF
10232-7,O2 Ct AO root-sCnc
10233-5,O2 Ct LA-sCnc
10234-3,O2 Ct RA-sCnc
10235-0,O2 Ct RA.high-sCnc
10236-8,O2 Ct RA.low-sCnc
10237-6,O2 Ct RA.mid-sCnc
10238-4,O2 Ct LV-sCnc
10239-2,O2 Ct RVOT-sCnc
102-4,Cefoperazone Titr SBT
10240-0,O2 Ct RV-sCnc
10241-8,O2 Ct CS-sCnc
10242-6,O2 Ct DA-sCnc
10243-4,O2 Ct IVC-sCnc
10244-2,O2 Ct PA-L-sCnc
10245-9,O2 Ct MPA-sCnc
10246-7,O2 Ct PA-R-sCnc
10247-5,O2 Ct PW-sCnc
10248-3,O2 Ct SVC-sCnc
1024-9,Fy sup(a) Ab SerPl Ql
10249-1,Hrt Rate Device Inventory #
10250-9,Model # Hrt Rate Device
10251-7,Serial # Hrt Rate Device
10252-5,Biliary drain site
10253-3,Biliary drain Class
10254-1,Peritoneal drain Class
10255-8,Subarachnoid Drain Class
1025-6,Fy sup(a) Ag RBC BPU Ql
10256-6,Biliary drain Inventory #
10257-4,Chest tube Inventory #
10258-2,Enteral tube Inventory #
10259-0,G-tube Inventory #
10260-8,GI tube Inventory #
10261-6,IV tube Inventory #
10262-4,IO tube Inventory #
10263-2,NG-tube Inventory #
1026-4,Fy sup(a) Ag RBC Donr Ql
10264-0,Oral tube Inventory #
10265-7,Peritoneal drain Inventory #
10266-5,Peritoneal tube Inventory #
10267-3,Rate Control Device Inventory #
10268-1,Stl Collect Device Inventory #
10269-9,Subarachnoid Drain Inventory #
10270-7,Synovial Drain Inventory #
10271-5,Tube/Drain Inventory #
1027-2,Fy sup(a) Ag RBC Ql
10272-3,Upper GI tube Inventory #
10273-1,Bladder irrigation tube Inventory #
10274-9,Urine tube Inventory #
10275-6,Wound drain device Inventory #
10276-4,Peritoneal drain site
10277-2,Stool collection site
10278-0,Subarachnoid drain site
10279-8,Model # Biliary drain
1028-0,Fy sup(b) Ab SerPl BPU Ql
10280-6,Model # Chest tube
10281-4,Model # Enteral tube
10282-2,Model # G-tube
10283-0,Model # GI tube
10284-8,Model # IV tube
10285-5,Model # IO tube
10286-3,Model # NG-tube
10287-1,Model # Oral tube
10288-9,Model # Peritoneal drain
10289-7,Model # Peritoneal tube
10290-5,Model # Rate Control Device
10291-3,Model # Stl Collect Device
10292-1,Model # Subarachnoid Drain
10293-9,Model # Synovial Drain
10294-7,Model # Tube/Drain
10295-4,Model # Upper GI tube
10296-2,Model # Bladder irrigation tube
10297-0,Model # Urine tube
1029-8,Fy sup(b) Ab SerPl Donr Ql
10298-8,Model # Wound drain device
10299-6,Serial # Biliary drain
10300-2,Serial # Chest tube
10301-0,Serial # Enteral tube
10302-8,Serial # G-tube
10303-6,Serial # GI tube
10304-4,Serial # IV tube
10305-1,Serial # IO tube
1030-6,Fy sup(b) Ab SerPl Ql
10306-9,Serial # NG-tube
10307-7,Serial # Oral tube
10308-5,Serial # Peritoneal drain
10309-3,Serial # Peritoneal tube
10310-1,Serial # Rate Control Device
10311-9,Serial # Stl Collect Device
10312-7,Serial # Subarachnoid Drain
10313-5,Serial # Synovial Drain
1031-4,Fy sup(b) Ag RBC BPU Ql
10314-3,Serial # Tube/Drain
10315-0,Serial # Upper GI tube
10316-8,Serial # Bladder irrigation tube
10317-6,Serial # Urine tube
10318-4,Serial # Wound drain device
10319-2,Enema Device Inventory #
103-2,Ceforanide Islt MLC
10320-0,Model # Enema Device
10321-8,Serial # Enema Device
1032-2,Fy sup(b) Ag RBC Donr Ql
10322-6,Potassium intake 24h
10323-4,Wound drain fluid Lower GI tract
10324-2,Breath Rate Device Inventory #
10325-9,Model # Breath Rate Device
10326-7,Serial # Breath Rate Device
10327-5,Eosinophil/leuk NFr Spt Manual
10328-3,Lymphocytes/leuk NFr CSF Manual
10329-1,Monocytes/leuk NFr CSF Manual
1033-0,Fy sup(b) Ag RBC Ql
10330-9,Monocytes/leuk NFr Fld Manual
10331-7,Rh Bld
10332-5,Cortis pre 250 ug ACTH IM SerPl-mCnc
10333-3,Appearance CSF
10334-1,Cancer Ag125 SerPl-aCnc
10335-8,Color CSF
10336-6,GP Ur-mCnc
10337-4,Procollagen I Ser-mCnc
10338-2,Barbiturates SerPl-mCnc
10339-0,FLUoxetine+Nor SerPl-mCnc
10340-8,Molindone SerPl-mCnc
10341-6,Norpropoxyph SerPl-mCnc
10342-4,Sulfamethoxazole SerPl-mCnc
10343-2,Temazepam SerPl-mCnc
10344-0,Tranylcypromine SerPl-mCnc
10345-7,Trihexyphenidyl Ur-mCnc
10346-5,Hgb A Bld Elph-aCnc
10347-3,B microti Bld Smear
1034-8,Fetal Cell Scn Bld-Imp
10348-1,B parapert Ab Ser Ql
10349-9,Brucella Ab Ser-aCnc
10350-7,HSV IgM Titr Ser IA
10351-5,HIV1 RNA SerPl Probe amp-aCnc
10352-3,Bacteria Genital Aerobe Cult
10353-1,Bacteria Nose Aerobe Cult
10354-9,Bacteria Urth Cult
1035-5,FFP Gvn Vol Dose
10355-6,Wright Gie Stn Mar
10356-4,Deprecated Tri Stn Stl
10357-2,Gram Stn Wnd
10358-0,Teichoate Ab Titr Ser ID
10359-8,GM1 Asialo IgM Titr Ser
10360-6,ssDNA IgG Ser-aCnc
10361-4,ssDNA IgM Ser-aCnc
10362-2,Endomysium IgA Ser Ql
1036-3,G Ab SerPl BPU Ql
10363-0,Barbiturates Spec Ql
10364-8,Cotinine Hair-mCnt
10365-5,Cotinine SerPl-mCnc
10366-3,Cotinine Ur-mCnc
10367-1,Ethanol Gast-mCnc
10368-9,Lead BldC-mCnc
10369-7,Opiates Hair-mCnt
10370-5,PCP Hair-mCnt
1037-1,G Ab SerPl Donr Ql
10371-3,Bite cells Bld Ql Smear
10372-1,Blister Cells Bld Ql Smear
10373-9,Fragments Bld Ql Smear
10374-7,Helmet Cells Bld Ql Smear
10375-4,Irreg Cont Cells Bld Ql Smear
10376-2,Macrocytes Oval Bld Ql Smear
10377-0,Pencil Cells Bld Ql Smear
10378-8,Polychromasia Bld Ql Smear
10379-6,RBC Dual Pop Bld Ql Smear
10380-4,Stomatocytes Bld Ql Smear
10381-2,Targets Bld Ql Smear
10382-0,"Deprecated A,B Var NOS Ag RBC BPU Ql"
10383-8,"Deprecated A,B Var NOS Ag RBC Donr Ql"
10384-6,"Deprecated A,B Var NOS Ag RBC Ql"
10385-3,Albumin Conc Gvn
10386-1,Albumin Gvn Vol
10387-9,Autol RBC Gvn Vol
10388-7,Autol Bld Gvn Vol
1038-9,G Ab SerPl Ql
10389-5,Other Bld Prod BPU
10390-3,Bld Prod Special Prep BPU
10391-1,CMV Ig Gvn Vol
10392-9,Cryoppt Gvn Vol
10393-7,Fact IX Gvn
10394-5,Fact IX Gvn Vol
10395-2,Fact VIII Gvn
10396-0,Fact VIII Gvn Vol
1039-7,G Ag RBC BPU Ql
10397-8,HBV Ig Gvn Vol
10398-6,I Ag RBC BPU Ql
10399-4,I Ag RBC Donr Ql
104-0,Ceforanide Islt MIC
10400-0,I Ag RBC Ql
10401-8,ISG Gvn
10402-6,ISG Gvn Vol
10403-4,Inject Serum Ig Vol Patient
10404-2,Inject Rh Ig Vol Patient
1040-5,G Ag RBC Donr Ql
10405-9,Inject VZIg Vol Patient
10406-7,little i Ag RBC BPU Ql
10407-5,little i Ag RBC Donr Ql
10408-3,little i Ag RBC Ql
10409-1,Pentaspan Gvn Vol
10410-9,Plasma Gvn
10411-7,Plasma Gvn Vol
10412-5,Platelet Gvn
1041-3,G Ag RBC Ql
10413-3,Rh Ig Gvn Vol
10414-1,Trans Albumin Vol Patient
10415-8,Transf Bld Xchange Vol Patient
10416-6,Trans Other Prod Vol Patient
10417-4,Trans Cryoppt Vol Patient
10418-2,Trans Fact IX Vol Patient
10419-0,Trans Fact VIII Vol Patient
10420-8,Trans Serum Ig Vol Patient
1042-1,H Ab SerPl BPU Ql
10421-6,Trans Pentaspan Vol Patient
10422-4,Trans Plasma Vol Patient
10423-2,Trans Platelets Vol Patient
10424-0,Trans Erythrocytes Vol Patient
10425-7,Trans Rhogam Vol Patient
10426-5,Trans Whole Bld Vol Patient
10427-3,Trans Bld Autol Vol Patient
10428-1,VZIg Gvn Vol
10429-9,AE1 Ag Tiss Ql ImStn
10430-7,AE3 Ag Tiss Ql ImStn
10431-5,B Cell Ag Tiss Ql ImStn
10432-3,CD30 Ag Tiss Ql ImStn
10433-1,BR2 Ag Tiss Ql ImStn
10434-9,C3 Ag Tiss Ql ImStn
10435-6,C5B9 Ag Tiss Ql ImStn
10436-4,CD15 Ag Tiss Ql ImStn
10437-2,CD16 Ag Tiss Ql ImStn
10438-0,CD20 Ag Tiss Ql ImStn
1043-9,H Ab SerPl Donr Ql
10439-8,CD3 Ag Tiss Ql ImStn
10440-6,Deprecated CD30 Ag Tiss Ql ImStn
10441-4,CD34 Ag Tiss Ql ImStn
10442-2,CD56 Ag Tiss Ql ImStn
10443-0,CD43 Ag Tiss Ql ImStn
10444-8,CD57 Ag Tiss Ql ImStn
10445-5,CD11c Ag Tiss Ql ImStn
10446-3,LCA Tiss Ql ImStn
1044-7,H Ab Ser Ql
10447-1,M5 Ag Tiss Ql ImStn
10448-9,T cell Ag Tiss Ql ImStn
10449-7,Glucose 1h p meal SerPl-mCnc
10450-5,Glucose p 10h fast SerPl-mCnc
10451-3,Proinsulin p 12h fast SerPl-sCnc
10452-1,Xylose 1h p 25 g Xyl PO SerPl-mCnc
10453-9,Xylose 1h p Xyl PO SerPl-mCnc
1045-4,Deprecated H NOS Ab SerPl BPU Ql
10454-7,Xylose 2h p 25 g Xyl PO SerPl-mCnc
10455-4,Xylose 30M p 25 g Xyl PO SerPl-mCnc
10456-2,Xylose p 6h fast SerPl-mCnc
10457-0,Actin Ag Tiss Ql ImStn
10458-8,ALP Plac Ag Tiss Ql ImStn
10459-6,AFP Ag Tiss Ql ImStn
10460-4,A-Lactalb Ag Tiss Ql ImStn
10461-2,A1ACT Ag Tiss Ql ImStn
1046-2,Deprecated H NOS Ab SerPl Donr Ql
10462-0,A1AT Ag Tiss Ql ImStn
10463-8,ALA Ag Tiss Ql ImStn
10464-6,ALP Ag Tiss Ql ImStn
10465-3,AL Prealb Ag Tiss Ql ImStn
10466-1,Anion Gap3 SerPl-sCnc
10467-9,B2MG AL Ag Tiss Ql ImStn
10468-7,Calcit Ag Tiss Ql ImStn
10469-5,CEA Tiss Ql ImStn
1047-0,Deprecated H NOS Ab SerPl Ql
10470-3,HCG Ag Tiss Ql ImStn
10471-1,CgA Ag Tiss Ql ImStn
10472-9,Cg Ag Tiss Ql ImStn
10473-7,Chymotryp Ag Tiss Ql ImStn
10474-5,Collagen4 Ag Tiss Ql ImStn
10475-2,ACTH Ag Tiss Ql ImStn
10476-0,Desmin Ag Tiss Ql ImStn
10477-8,NSE Ag Tiss Ql ImStn
10478-6,EMBP Ag Tiss Ql ImStn
10479-4,CD227 Ag Tiss Ql ImStn
10480-2,ERA+PGRA Ag Tiss Ql ImStn
10481-0,A-FSH Ag Tiss Ql ImStn
10482-8,B-FSH Ag Tiss Ql ImStn
10483-6,Gastrin Ag Tiss Ql ImStn
10484-4,GFAP Ag Tiss Ql ImStn
10485-1,Glucagon Ag Tiss Ql ImStn
10486-9,Hgb Ag Tiss Ql ImStn
10487-7,HMB45 Ag Tiss Ql ImStn
1048-8,Deprecated H NOS Ag RBC BPU Ql
10488-5,IgA Ag Tiss Ql ImStn
10489-3,IgA HC Ag Tiss Ql ImStn
10490-1,IgE Ag Tiss Ql ImStn
10491-9,IgG Ag Tiss Ql ImStn
10492-7,IgG HC Ag Tiss Ql ImStn
10493-5,IgM Ag Tiss Ql ImStn
10494-3,IgM HC Ag Tiss Ql ImStn
10495-0,Insulin Ag Tiss Ql ImStn
1049-6,Deprecated H NOS Ag RBC Donr Ql
10496-8,Kappa LC Ag Tiss Ql ImStn
10497-6,Kappa AL Ag Tiss Ql ImStn
10498-4,Keratin Ag Tiss Ql ImStn
10499-2,Lambda LC Ag Tiss Ql ImStn
10500-7,Lambda AL Ag Tiss Ql ImStn
10501-5,LH SerPl-aCnc
10502-3,LH Ag Tiss Ql ImStn
10503-1,Lysozyme Ag Tiss Ql ImStn
1050-4,Deprecated H NOS Ag RBC Ql
10504-9,MBP Ag Tiss Ql ImStn
10505-6,Myoglobin Ag Tiss Ql ImStn
10506-4,PNA Ag Tiss Ql ImStn
10507-2,Prolactin Ag Tiss Ql ImStn
10508-0,PSA Tiss Ql ImStn
10509-8,PACP Ag Tiss Ql ImStn
10510-6,S100 Ag Tiss Ql ImStn
10511-4,Serotonin Ag Tiss Ql ImStn
1051-2,HDNB Scn Bld-Imp
10512-2,Somatostat Ag Tiss Ql ImStn
10513-0,GH Ag Tiss Ql ImStn
10514-8,Synaptophys Ag Tiss Ql ImStn
10515-5,Thyroglob Ag Tiss Ql ImStn
10516-3,TSH Ag Tiss Ql ImStn
10517-1,Trypsin Ag Tiss Ql ImStn
10518-9,UEA1 Ag Tiss Ql ImStn
10519-7,Vimentin Ag Tiss Ql ImStn
1052-0,Deprecated I (Int) Subtyp SerPl BPU Ql
10520-5,Fact VI Ag Tiss Ql ImStn
10521-3,Fact VIII Ag Tiss Ql ImStn
10522-1,Fact XIII Ag Tiss Ql ImStn
10523-9,Fibrinogen Ag Tiss Ql ImStn
10524-7,Cyto Cvx
10525-4,Cyto Spec
10526-2,Cyto Spt
10527-0,Cyto Tiss
10528-8,Acetophenazine SerPl-mCnc
10529-6,Amoxapine Metab SerPl-mCnc
10530-4,Aprobarbital SerPl-mCnc
10531-2,Bretylium SerPl-mCnc
10532-0,Deprecated Noramiodarone SerPl-mCnc
10533-8,Propoxyph+APAP SerPl-mCnc
10534-6,Diazoxide SerPl-mCnc
10535-3,Digoxin SerPl-mCnc
10536-1,Dipyridamole SerPl-mCnc
10537-9,Deprecated Doxepin+Nor SerPl-mCnc
1053-8,Deprecated I (Int) Subtyp SerPl Donr Ql
10538-7,Deprecated FLUoxetine+Nor SerPl-mCnc
10539-5,glipiZIDE SerPl-mCnc
10540-3,glyBURIDE SerPl-mCnc
10541-1,Mepivacaine SerPl-mCnc
10542-9,Metharbital SerPl-mCnc
10543-7,Methsuximide+Nor SerPl-mCnc
10544-5,Normeperidine SerPl Ql
10545-2,Normephenytoin SerPl-mCnc
1054-6,Deprecated I (Int) Subtyp Ser Ql
10546-0,Normethsuximide SerPl-mCnc
10547-8,Primidone+Phenobarb SerPl-mCnc
10548-6,Phenytoin Free MFr SerPl
10549-4,Pirmenol SerPl-mCnc
10550-2,Deprecated Temazepam SerPl-mCnc
10551-0,Triamterene SerPl-mCnc
10552-8,Tricyclics SerPl-mCnc
1055-3,Deprecated I (Int) Subtyp RBC BPU Ql
10553-6,PACP Genital fl-cCnc
10554-4,Deprecated PACP-cCnc
10555-1,Acrosin Sprm Qn
10556-9,Deprecated ATPase-cCnc
10557-7,ATP Smn-sCnc
10558-5,Albumin Smn-sCnc
10559-3,Deprecated Calcium-sCnc
10560-1,CEA Smn-aCnc
1056-1,Deprecated I (Int) Subtyp RBC Donr Ql
10561-9,Carnitine Smn-sCnc
10562-7,Cells # Cerv mucus
10563-5,Cells Other # Smn
10564-3,Cvx Mucus Vol Patient
10565-0,HCG Smn-aCnc
10566-8,Deprecated HCG-sCnc
10567-6,Citrate Smn-sCnc
10568-4,Clarity Smn
10569-2,Color Smn
105-7,Ceforanide Islt KB
10570-0,Consistency Cerv mucus Ql
10571-8,Deprecated Consistency Smn Ql
10572-6,Deprecated Duration p ejac Patient Qn
10573-4,Ferning Cerv mucus
10574-2,Fructose Smn-sCnc
10575-9,Deprecated GGT-cCnc
10576-7,Imm Germ Cells # Smn
10577-5,Glucosidase Semin plas-cCnc
10578-3,GPC Semin plas-sCnc
1057-9,Deprecated I (Int) Subtyp RBC Patient Ql
10579-1,WBC # Smn
10580-9,Liquefaction Time Smn
10581-7,Deprecated # Entities Sprm
10582-5,pH Cerv mucus
10583-3,Prostaglandin F1A Smn-sCnc
10584-1,Deprecated Prot-mCnc
10585-8,Rnd Cells # Smn
10586-6,Deprecated Semen Vol Patient
1058-7,I Ab SerPl BPU Ql
10587-4,Sex Abstin duration Time Patient
10588-2,Spermatogonia # Smn
10589-0,Spermatids # Smn SAB
10590-8,Spermatids # Smn SCB
10591-6,Primary Spermatocytes # Smn
10592-4,Secondary Spermatocytes # Smn
10593-2,Sperm Pyriform Head NFr Smn
10594-0,Sperm Tapering Head NFr Smn
1059-5,I Ab SerPl Donr Ql
10595-7,Deprecated Sperm # Smn
10596-5,Deprecated Sperm Ab Cerv mucus
10597-3,Deprecated Sperm Ab Smn
10598-1,Deprecated Sperm Ab Ser
10599-9,Sperm Pen Smn+Cvm Ql Kremer
10600-5,Sperm Pen Smn+Cvm Ql
10601-3,Sperm Pen PCT Smn+Cvm Ql
10602-1,Sperm Abnorm Head NFr Smn
1060-3,I Ab SerPl Ql
10603-9,Sperm Abnorm Midpiece NFr Smn
10604-7,Sperm Abnorm Tail NFr Smn
10605-4,Sperm Agglutinated NFr Smn
10606-2,Sperm Amorphous Head NFr Smn
10607-0,Sperm Coiled Tail NFr Smn
10608-8,Sperm Cytoplasmic Drop NFr Smn
10609-6,Sperm Duplicate Head NFr Smn
10610-4,Sperm Duplicate Tail NFr Smn
1061-1,Deprecated I NOS Ab SerPl BPU Ql
10611-2,Sperm Immotile NFr Smn
10612-0,Sperm Lg Oval Head NFr Smn
10613-8,Sperm Viable NFr Smn
10614-6,Sperm Motile w IgA NFr Smn IBT
10615-3,Sperm Motile w IgA NFr Smn MAR
10616-1,Sperm Motile w IgG NFr Smn IBT
10617-9,Sperm Motile w IgG NFr Smn MAR
10618-7,Sperm Motile w IgM NFr Smn IBT
10619-5,Sperm Motile w IgM NFr Smn MAR
10620-3,Sperm Nonprog NFr Smn
10621-1,Sperm Norm Head NFr Smn
10622-9,Sperm Norm NFr Smn
10623-7,Sperm Pin Head NFr Smn
10624-5,Sperm Rapid NFr Smn
10625-2,Sperm Round Head NFr Smn
10626-0,Sperm Slow NFr Smn
10627-8,Sperm Small Oval Head NFr Smn
10628-6,Sperm Tail Swelling NFr Smn
1062-9,Deprecated I NOS Ab SerPl Donr Ql
10629-4,Sperm Vacuolated Head NFr Smn
10630-2,Spinnbarkeit Cerv mucus
10631-0,Testost Smn-sCnc
10632-8,Tme til Nxt Menst Patient
10633-6,Zinc Smn-sCnc
10634-4,C1INH Functional/C1INH Total MFr SerPl
10635-1,Acanthamoeba Eye Cult
10636-9,Acanthamoeba Eye Wet Prep
1063-7,Deprecated I NOS Ab SerPl Ql
10637-7,Night blue stain Tiss
10638-5,Therm Actino CC # Spec Cult
10639-3,Therm Actino Spec Cult
10640-1,Deprecated HAdV40+41 Stl EM
10641-9,Amoeba Aspirate ImStn
10642-7,Amoeba Aspirate Wet Prep
10643-5,Amoeba Stl Cult
10644-3,Insect Spec
1064-5,Deprecated I NOS Ag RBC BPU Ql
10645-0,A fumigatus Ag Tiss Ql IF
10646-8,HAstV Stl EM
10647-6,Babesia Bld Thick Film
10648-4,Babesia Bld Thin Film
